Accesion	Protein Description	Genes	# of Peptides	1-sort	2-sort	3-sort	4-sort		1-unsort	2-unsort	3-unsort	4-unsort
P62806	Histone H4	H4f16	13	5.25E+09	4.85E+09	6.07E+09	4.50E+09		5.86E+09	4.32E+09	4.72E+09	4.91E+09
P60710;P63260;P63268;P68134	"Actin, cytoplasmic 1"	Acta1;Actb;Actg1;Actg2	7	2.71E+09	3.51E+09	2.79E+09	2.59E+09		5.06E+09	2.43E+09	2.79E+09	4.73E+09
P27661	Histone H2AX	H2ax	7	3.21E+09	3.15E+09	3.80E+09	3.03E+09		3.72E+09	2.32E+09	3.15E+09	3.01E+09
P10854;Q64475;Q64525	Histone H2B type 1-M	H2bc14;H2bc3;Hist2h2bb	16	3.44E+09	2.97E+09	3.15E+09	2.59E+09		3.11E+09	2.73E+09	2.83E+09	3.09E+09
P27661;Q64522	Histone H2AX	H2ac21;H2ax	4	2.42E+09	2.21E+09	2.93E+09	1.76E+09		2.43E+09	2.18E+09	2.67E+09	1.93E+09
P02301;P68433;P84228;P84244	Histone H3.3C	H3-3b;H3-5;H3c11;H3c15	10	2.10E+09	1.56E+09	2.16E+09	9.74E+08		2.65E+09	1.52E+09	1.67E+09	1.32E+09
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q64523;Q6GSS7;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7	Histone H2A type 1-B	H2ac11;H2ac12;H2ac13;H2ac15;H2ac20;H2ac4;H2ac6;H2ac7;H2ac8;H2aw;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa2	2	1.33E+09	1.40E+09	1.60E+09	1.65E+09		1.11E+09	1.32E+09	1.82E+09	1.38E+09
P60710;P63260	"Actin, cytoplasmic 1"	Actb;Actg1	11	1.40E+09	1.35E+09	1.56E+09	1.51E+09		1.45E+09	1.20E+09	1.58E+09	1.50E+09
P16858	Glyceraldehyde-3-phosphate dehydrogenase	Gapdh	29	6.45E+08	1.18E+09	7.71E+08	1.12E+09		6.90E+08	7.32E+08	1.16E+09	1.17E+09
P10126;P62631	Elongation factor 1-alpha 1	Eef1a1;Eef1a2	14	6.98E+08	9.96E+08	7.56E+08	8.48E+08		7.96E+08	9.58E+08	6.94E+08	9.09E+08
P20152	Vimentin	Vim	63	8.17E+08	8.53E+08	7.85E+08	9.33E+08		8.98E+08	8.97E+08	7.60E+08	1.01E+09
P68373	Tubulin alpha-1C chain	Tuba1c	11	3.86E+08	7.34E+08	5.83E+08	7.35E+08		3.57E+08	4.79E+08	6.91E+08	7.76E+08
P16858;Q64467	Glyceraldehyde-3-phosphate dehydrogenase	Gapdh;Gapdhs	2	5.21E+08	7.11E+08	3.84E+08	4.10E+08		5.44E+08	5.70E+08	5.85E+08	5.11E+08
P11499	Heat shock protein HSP 90-beta	Hsp90ab1	42	5.20E+08	6.23E+08	4.11E+08	5.25E+08		5.29E+08	6.02E+08	3.92E+08	5.35E+08
P14069	Protein S100-A6	S100a6	8	4.71E+08	5.30E+08	3.64E+08	2.43E+08		4.17E+08	4.92E+08	2.77E+08	2.47E+08
P20152;P31001	Vimentin	Des;Vim	2	2.85E+08	4.81E+08	2.42E+08	3.64E+08		4.39E+08	3.41E+08	1.59E+08	4.73E+08
P10126	Elongation factor 1-alpha 1	Eef1a1	21	3.19E+08	4.38E+08	3.63E+08	4.16E+08		3.30E+08	4.44E+08	3.57E+08	4.33E+08
P07091	Protein S100-A4	S100a4	9	4.39E+08	4.37E+08	4.06E+08	2.84E+08		3.72E+08	4.62E+08	2.99E+08	3.47E+08
P07901;P11499	Heat shock protein HSP 90-alpha	Hsp90aa1;Hsp90ab1	16	3.27E+08	4.24E+08	2.72E+08	3.70E+08		3.57E+08	3.48E+08	2.48E+08	3.82E+08
P17742	Peptidyl-prolyl cis-trans isomerase A	Ppia	23	2.33E+08	3.87E+08	3.47E+08	4.17E+08		3.14E+08	2.49E+08	2.69E+08	4.37E+08
P63017	Heat shock cognate 71 kDa protein	Hspa8	41	2.97E+08	3.86E+08	2.59E+08	3.58E+08		3.26E+08	3.69E+08	2.47E+08	3.56E+08
P68372;P99024;Q7TMM9;Q922F4;Q9CWF2;Q9ERD7	Tubulin beta-4B chain	Tubb2a;Tubb2b;Tubb3;Tubb4b;Tubb5;Tubb6	2	1.37E+08	3.77E+08	3.04E+08	5.33E+08		1.82E+08	2.37E+08	4.72E+07	4.95E+08
P17182;P17183;P21550	Alpha-enolase	Eno1;Eno2;Eno3	3	2.56E+08	3.74E+08	2.66E+08	3.80E+08		2.41E+08	2.88E+08	4.75E+08	4.21E+08
P52480	Pyruvate kinase PKM	Pkm	54	3.19E+08	3.73E+08	3.27E+08	3.83E+08		3.31E+08	3.51E+08	4.22E+08	3.97E+08
P15864;P43277	Histone H1.2	H1-2;H1-3	3	5.30E+08	3.63E+08	4.63E+08	3.43E+08		5.74E+08	3.97E+08	4.08E+08	3.57E+08
P08113;P11499	Endoplasmin	Hsp90ab1;Hsp90b1	2	1.22E+08	3.60E+08	1.62E+08	2.40E+08		2.81E+08	4.79E+07	3.72E+07	3.79E+08
P17156;P63017	Heat shock-related 70 kDa protein 2	Hspa2;Hspa8	6	2.02E+08	3.44E+08	1.47E+08	2.67E+08		2.39E+08	2.47E+08	1.36E+08	2.88E+08
P06151	L-lactate dehydrogenase A chain	Ldha	28	3.08E+08	3.36E+08	2.46E+08	3.07E+08		3.11E+08	2.90E+08	3.24E+08	3.49E+08
E9Q616	AHNAK nucleoprotein (desmoyokin)	Ahnak	357	3.08E+08	3.15E+08	3.30E+08	3.26E+08		2.99E+08	3.05E+08	3.28E+08	3.17E+08
P62983;P62984	Ubiquitin-40S ribosomal protein S27a	Rps27a;Uba52	7	3.71E+08	3.12E+08	3.96E+08	3.51E+08		3.79E+08	2.84E+08	3.48E+08	3.92E+08
P68368;P68373;Q9JJZ2	Tubulin alpha-4A chain	Tuba1c;Tuba4a;Tuba8	12	2.83E+08	3.12E+08	2.65E+08	2.55E+08		2.77E+08	2.76E+08	2.21E+08	2.85E+08
P15532;Q01768	Nucleoside diphosphate kinase A	Nme1;Nme2	8	2.49E+08	3.08E+08	1.87E+08	2.08E+08		2.58E+08	3.17E+08	2.06E+08	2.32E+08
P17182	Alpha-enolase	Eno1	30	3.50E+08	3.07E+08	2.69E+08	2.96E+08		3.53E+08	3.13E+08	2.63E+08	3.60E+08
P16045	Galectin-1	Lgals1	13	3.33E+08	3.01E+08	3.24E+08	1.52E+08		3.32E+08	3.20E+08	1.94E+08	2.17E+08
O09131	Glutathione S-transferase omega-1	Gsto1	25	3.02E+08	2.97E+08	2.86E+08	3.36E+08		3.27E+08	3.11E+08	2.56E+08	3.58E+08
P15864;P43274;P43275;P43277	Histone H1.2	H1-1;H1-2;H1-3;H1-4	2	2.53E+08	2.97E+08	5.56E+08	3.46E+08		7.89E+08	1.88E+08	2.09E+08	5.64E+08
P62962	Profilin-1	Pfn1	16	1.79E+08	2.82E+08	2.27E+08	2.36E+08		1.95E+08	1.88E+08	2.17E+08	2.35E+08
P15864;P43274;P43277	Histone H1.2	H1-2;H1-3;H1-4	4	3.42E+08	2.81E+08	4.15E+08	4.02E+08		4.60E+08	2.77E+08	2.78E+08	4.47E+08
Q03265	"ATP synthase subunit alpha, mitochondrial"	Atp5f1a	42	2.09E+08	2.56E+08	2.27E+08	2.17E+08		2.25E+08	2.05E+08	3.17E+08	2.29E+08
P68372;P99024;Q7TMM9;Q922F4;Q9CWF2;Q9D6F9;Q9ERD7	Tubulin beta-4B chain	Tubb2a;Tubb2b;Tubb3;Tubb4a;Tubb4b;Tubb5;Tubb6	8	2.00E+08	2.50E+08	1.61E+08	2.38E+08		1.84E+08	2.17E+08	1.71E+08	2.51E+08
P08551;P20152;P31001;P46660	Neurofilament light polypeptide	Des;Ina;Nefl;Vim	1	2.62E+08	2.49E+08	2.53E+08	3.01E+08		2.78E+08	3.03E+08	2.57E+08	3.25E+08
P43274	Histone H1.4	H1-4	3	3.27E+08	2.45E+08	3.25E+08	3.06E+08		3.85E+08	2.66E+08	2.96E+08	3.11E+08
P10107	Annexin A1	Anxa1	37	2.02E+08	2.43E+08	2.60E+08	2.01E+08		2.19E+08	1.92E+08	2.08E+08	2.48E+08
P35700	Peroxiredoxin-1	Prdx1	21	2.25E+08	2.38E+08	2.10E+08	2.27E+08		2.27E+08	2.20E+08	1.83E+08	2.61E+08
O88569	Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1	28	2.08E+08	2.32E+08	2.02E+08	1.82E+08		1.87E+08	2.02E+08	2.05E+08	1.86E+08
P68372;P99024;Q7TMM9;Q9CWF2;Q9D6F9;Q9ERD7	Tubulin beta-4B chain	Tubb2a;Tubb2b;Tubb3;Tubb4a;Tubb4b;Tubb5	3	1.13E+08	2.30E+08	8.79E+07	1.84E+08		1.33E+08	1.33E+08	1.34E+08	1.85E+08
P48962;P51881	ADP/ATP translocase 1	Slc25a4;Slc25a5	14	1.97E+08	2.29E+08	1.86E+08	2.04E+08		1.65E+08	2.43E+08	2.87E+08	2.12E+08
P08113	Endoplasmin	Hsp90b1	73	2.52E+08	2.22E+08	2.71E+08	2.34E+08		2.36E+08	2.04E+08	2.57E+08	2.33E+08
P16627;P17156;P17879;P63017;Q61696	Heat shock 70 kDa protein 1-like	Hspa1a;Hspa1b;Hspa1l;Hspa2;Hspa8	2	1.08E+08	2.21E+08	1.86E+08	1.55E+08		2.89E+08	1.80E+08	1.40E+08	1.84E+08
P61982;P62259;P63101;P68254;P68510;Q9CQV8	14-3-3 protein gamma	Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz	4	2.32E+08	2.18E+08	1.66E+08	1.70E+08		2.20E+08	2.08E+08	1.47E+08	1.83E+08
P56480	"ATP synthase subunit beta, mitochondrial"	Atp5f1b	34	1.74E+08	2.18E+08	2.38E+08	2.18E+08		1.86E+08	1.95E+08	3.27E+08	2.25E+08
P10639	Thioredoxin	Txn	13	1.86E+08	2.18E+08	2.48E+08	9.53E+07		2.17E+08	1.87E+08	9.89E+07	1.88E+08
P52480;P53657	Pyruvate kinase PKM	Pklr;Pkm	1	1.99E+08	2.17E+08	1.71E+08	2.23E+08		2.07E+08	2.06E+08	2.03E+08	2.49E+08
P03995;P20152	Glial fibrillary acidic protein	Gfap;Vim	1	2.14E+08	2.17E+08	1.20E+08	1.53E+08		2.23E+08	2.02E+08	1.47E+08	1.62E+08
