Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Q-value,Score,WT_Rep1,WT_Rep2,WT_Rep3,WT_Rep4,WT_Rep5,Mut_Rep1,Mut_Rep2,Mut_Rep3,Mut_Rep4,Mut_Rep5
F6XC25;Q8BRN9,F6XC25;Q8BRN9,Coiled-coil and C2 domain-containing protein 1B,Cc2d1b,>tr|F6XC25|F6XC25_MOUSE Coiled-coil and C2 domain-containing protein 1B (Fragment) OS=Mus musculus GN=Cc2d1b PE=1 SV=1;>sp|Q8BRN9|C2D1B_MOUSE Coiled-coil and C2 domain-containing protein 1B OS=Mus musculus GN=Cc2d1b PE=1 SV=1,2,1,1,1,2.2,2.2,2.2,0.059307,0.97741,747797.6239,778815.0718,766557.6627,741188.3704,756794.8194,248279.562,144524.2456,100840,90663.23722,123470
A2AAN2;Q8BMA6,A2AAN2;Q8BMA6,Signal recognition particle subunit SRP68,Srp68,>tr|A2AAN2|A2AAN2_MOUSE Signal recognition particle subunit SRP68 OS=Mus musculus GN=Srp68 PE=1 SV=1;>sp|Q8BMA6|SRP68_MOUSE Signal recognition particle subunit SRP68 OS=Mus musculus GN=Srp68 PE=1 SV=2,2,1,1,1,4.3,4.3,4.3,0,4.9758,3096.702532,3397.482495,1643.620135,2680.266308,2718.797189,5353.762679,4383.405468,5900.2,4663.988889,4831.782343
Q32ME9;P55849-2;P55849,Q32ME9;P55849-2;P55849,Desmocollin-1,Dsc1,>tr|Q32ME9|Q32ME9_MOUSE Desmocollin 1 OS=Mus musculus GN=Dsc1 PE=1 SV=1;>sp|P55849-2|DSC1_MOUSE Isoform 1B of Desmocollin-1 OS=Mus musculus GN=Dsc1;>sp|P55849|DSC1_MOUSE Desmocollin-1 OS=Mus musculus GN=Dsc1 PE=1 SV=2,3,1,1,1,1.9,1.9,1.9,0.058501,0.97866,32800.86489,32413.42178,26816.24527,33878.03662,31128.96911,10357.08875,9988.56229,5152.6,5198.85,5319.565836
Q3TX21;P18406,Q3TX21;P18406,Protein CYR61,Cyr61,>tr|Q3TX21|Q3TX21_MOUSE Cysteine rich protein 61 OS=Mus musculus GN=Cyr61 PE=1 SV=1;>sp|P18406|CYR61_MOUSE Protein CYR61 OS=Mus musculus GN=Cyr61 PE=1 SV=1,2,1,1,1,3.4,3.4,3.4,0.0060753,2.027,9381.862679,10024.29637,9147.205354,9800.858405,19811.97581,8746.581922,9212.10454,9249.4,9652.103611,6376.216865
A0A0A6YWX6;Q9CZ13,A0A0A6YWX6;Q9CZ13,"Cytochrome b-c1 complex subunit 1, mitochondrial",Uqcrc1,">tr|A0A0A6YWX6|A0A0A6YWX6_MOUSE Cytochrome b-c1 complex subunit 1, mitochondrial (Fragment) OS=Mus musculus GN=Uqcrc1 PE=1 SV=1;>sp|Q9CZ13|QCR1_MOUSE Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus GN=Uqcrc1 PE=1 SV=2",2,1,1,1,7.4,7.4,7.4,0.026151,1.4045,9381.862679,7851.663292,7835.963931,7149.603727,8660.501879,5136.324269,5908.111426,5316.4,2624.991361,8715.058515
Q04519,Q04519,Sphingomyelin phosphodiesterase,Smpd1,>sp|Q04519|ASM_MOUSE Sphingomyelin phosphodiesterase OS=Mus musculus GN=Smpd1 PE=1 SV=2,1,1,1,1,2.1,2.1,2.1,0.0050378,2.1588,10715.27735,13752.67309,13723.58609,12922.85616,14643.74375,11242.44335,10974.90302,12332,14363.16028,8832.453252
P97350,P97350,Plakophilin-1,Pkp1,>sp|P97350|PKP1_MOUSE Plakophilin-1 OS=Mus musculus GN=Pkp1 PE=1 SV=1,1,1,1,1,1.2,1.2,1.2,0.013825,1.7729,36082.97075,31621.71555,36712.29048,27877.76355,34461.38372,16271.80352,15526.17514,14829,13350.13333,12730.39147
Q8K354,Q8K354,Carbonyl reductase [NADPH] 3,Cbr3,>sp|Q8K354|CBR3_MOUSE Carbonyl reductase [NADPH] 3 OS=Mus musculus GN=Cbr3 PE=1 SV=1,1,2,1,1,7.2,5.1,5.1,0.0025707,2.3096,21398.371,17442.06189,19974.82462,19533.67248,16422.29024,22112.41372,18417.65334,15089,22149.66833,14834.24684
E9PUC6;G3X9Z5;Q9DCQ7-2;Q9DCQ7,E9PUC6;G3X9Z5;Q9DCQ7-2;Q9DCQ7,Alpha-1-antitrypsin 1-6,Serpina1f,>tr|E9PUC6|E9PUC6_MOUSE Alpha-1-antitrypsin 1-6 OS=Mus musculus GN=Serpina1f PE=3 SV=1;>tr|G3X9Z5|G3X9Z5_MOUSE Alpha-1-antitrypsin 1-6 OS=Mus musculus GN=Serpina1f PE=3 SV=1;>sp|Q9DCQ7-2|A1AT6_MOUSE Isoform 2 of Alpha-1-antitrypsin 1-6 OS=Mus musculus GN=S,4,1,1,1,2.2,2.2,2.2,0.0062112,2.0885,18037.38353,12597.49886,10776.37961,14631.38752,11990.39908,16093.36751,16132.08434,16718,24108.32972,16351.62054
O88307,O88307,Sortilin-related receptor,Sorl1,>sp|O88307|SORL_MOUSE Sortilin-related receptor OS=Mus musculus GN=Sorl1 PE=1 SV=3,1,1,1,1,0.6,0.6,0.6,0.0071856,1.9318,9082.112577,8647.142554,11304.20984,10715.12682,10272.27031,19218.43524,17709.43487,18972,16718.68861,17273.65632
